model,seed,embed_dim,hidden_dim,total_params,trainable_params,val_acc,test_acc,train_time_s
birnn,0,32,32,415202,33474,0.6878834355828221,0.7206020696142992,78.41
birnn,1,32,32,415202,33474,0.7262269938650306,0.6552210724365005,57.48
birnn,2,32,32,415202,33474,0.713957055214724,0.6810912511759172,79.46
birnn,0,32,64,497826,116098,0.7131901840490797,0.713546566321731,105.95
birnn,1,32,64,497826,116098,0.7369631901840491,0.6825023518344309,100.71
birnn,2,32,64,497826,116098,0.7384969325153374,0.6509877704609596,59.08
birnn,0,32,96,629602,247874,0.7254601226993865,0.6933207902163687,94.53
birnn,1,32,96,629602,247874,0.7446319018404908,0.6843838193791157,110.15
birnn,2,32,96,629602,247874,0.7269938650306749,0.7055503292568204,156.93
birnn,0,64,32,805122,41666,0.7538343558282209,0.6909689557855127,108.24
birnn,1,64,32,805122,41666,0.7200920245398773,0.7191909689557855,108.25
birnn,2,64,32,805122,41666,0.7162576687116564,0.6707431796801505,65.01
birnn,0,64,64,895938,132482,0.7285276073619632,0.7130761994355598,148.96
birnn,1,64,64,895938,132482,0.7285276073619632,0.7318908748824082,119.53
birnn,2,64,64,895938,132482,0.7269938650306749,0.6947318908748824,138.23
birnn,0,64,96,1035906,272450,0.7354294478527608,0.6886171213546566,118.08
birnn,1,64,96,1035906,272450,0.7193251533742331,0.7060206961429916,83.23
birnn,2,64,96,1035906,272450,0.7285276073619632,0.7173095014111006,174.59
birnn,0,96,32,1195042,49858,0.7338957055214724,0.6627469426152399,101.8
birnn,1,96,32,1195042,49858,0.727760736196319,0.6825023518344309,101.76
birnn,2,96,32,1195042,49858,0.7530674846625767,0.6961429915333961,113.18
birnn,0,96,64,1294050,148866,0.7285276073619632,0.702728127939793,136.24
birnn,1,96,64,1294050,148866,0.7162576687116564,0.702728127939793,102.32
birnn,2,96,64,1294050,148866,0.7553680981595092,0.6919096895578551,78.13
birnn,0,96,96,1442210,297026,0.74079754601227,0.7008466603951082,86.05
birnn,1,96,96,1442210,297026,0.7300613496932515,0.7041392285983067,133.81
birnn,2,96,96,1442210,297026,0.7553680981595092,0.702728127939793,86.05
