model,seed,embed_dim,hidden_dim,total_params,trainable_params,val_acc,test_acc,train_time_s
birnn,0,32,64,497826,116098,0.7131901840490797,0.713546566321731,106.07
birnn,1,32,64,497826,116098,0.7369631901840491,0.6825023518344309,111.93
birnn,2,32,64,497826,116098,0.7384969325153374,0.6509877704609596,63.73
birnn,0,64,64,895938,132482,0.7285276073619632,0.7130761994355598,156.04
birnn,1,64,64,895938,132482,0.7285276073619632,0.7318908748824082,123.89
birnn,2,64,64,895938,132482,0.7269938650306749,0.6947318908748824,144.3
birnn,0,96,64,1294050,148866,0.7285276073619632,0.702728127939793,141.74
birnn,1,96,64,1294050,148866,0.7162576687116564,0.702728127939793,111.41
birnn,2,96,64,1294050,148866,0.7553680981595092,0.6919096895578551,81.22
birnn,0,128,64,1692162,165250,0.7269938650306749,0.6961429915333961,79.67
birnn,1,128,64,1692162,165250,0.7461656441717791,0.6768579492003763,61.33
birnn,2,128,64,1692162,165250,0.7584355828220859,0.6867356538099718,96.28
