model,seed,embed_dim,hidden_dim,total_params,trainable_params,val_acc,test_acc,train_time_s
birnn,0,64,32,805122,41666,0.7538343558282209,0.6909689557855127,118.12
birnn,1,64,32,805122,41666,0.7200920245398773,0.7191909689557855,113.64
birnn,2,64,32,805122,41666,0.7162576687116564,0.6707431796801505,67.74
birnn,0,64,48,844386,80930,0.7262269938650306,0.7060206961429916,93.04
birnn,1,64,48,844386,80930,0.7308282208588958,0.7130761994355598,137.33
birnn,2,64,48,844386,80930,0.7369631901840491,0.7163687676387582,93.57
birnn,0,64,64,895938,132482,0.7285276073619632,0.7130761994355598,149.22
birnn,1,64,64,895938,132482,0.7285276073619632,0.7318908748824082,119.39
birnn,2,64,64,895938,132482,0.7269938650306749,0.6947318908748824,133.13
birnn,0,64,96,1035906,272450,0.7354294478527608,0.6886171213546566,119.16
birnn,1,64,96,1035906,272450,0.7193251533742331,0.7060206961429916,86.55
birnn,2,64,96,1035906,272450,0.7285276073619632,0.7173095014111006,168.24
birnn,0,64,128,1225026,461570,0.7154907975460123,0.6970837253057385,120.67
birnn,1,64,128,1225026,461570,0.7338957055214724,0.7163687676387582,178.34
birnn,2,64,128,1225026,461570,0.7193251533742331,0.7003762935089369,120.85
